Periode;Jumlah_Kematian
1;68
2;83
3;81
4;65
5;62
6;62
7;80
8;87
9;73
10;60
11;71
12;82
13;77
14;67
15;76
16;73
17;72
18;63
19;78
20;59
21;53
22;61
23;61
24;65
25;63
26;72
27;73
28;72
29;65
30;76
31;73
32;71
33;66
34;80
35;54
36;78
37;75
38;75
39;61
40;56
41;78
42;71
43;70
44;59
45;74
46;86
47;79
48;65
49;76
50;79
51;76
52;78
53;69
54;70
55;87
56;73
57;72
58;84
59;72
60;72
61;69
62;68
63;56
64;55
65;72
66;64
67;63
68;56
69;70
70;73
71;75
72;69
73;61
74;54
75;63
76;67
77;65
78;59
79;63
80;70
81;52
82;59
83;68
84;79
85;72
86;66
87;58
88;73
89;81
90;76
91;68
92;67
93;87
94;60
95;81
96;65
97;70
98;79
99;75
100;75
101;90
102;79
103;75
104;81
105;89
106;79
107;96
108;93
109;89
110;80
111;84
112;73
113;69
114;59
115;71
116;63
117;76
118;56
119;51
120;83
121;74
122;70
123;66
124;90
125;56
126;72
127;65
128;60
129;65
130;61
131;64
132;67
133;72
134;59
135;74
136;64
137;62
138;65
139;68
140;80
141;70
142;61
143;62
144;61
145;59
146;69
147;65
148;71
149;64
150;69
151;71
152;86
153;75
154;80
155;81
156;81
157;79
